Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Silhouette Score,Silhouette Score SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
KMeans,Moons,-,-,,,10,0.47896884177846866,5.551115123125783e-17,0.4879604640613248,1.137640067256873e-16,0.3066623399965465,0.6597018578210712,,,,,,,,
DBSCAN,Moons,-,-,,,10,0.9933554078979533,0.0,0.017502488854272115,1.508311886450353e-17,0.004284429992549121,0.0013623686773370336,,,,,,,,
KMeans,3 Circles,-,-,,,10,0.44427827189302505,0.001412614165912235,0.40986816970203555,0.0035944331095293346,0.09398066000430845,0.024625825510106048,,,,,,,,
DBSCAN,3 Circles,-,-,,,10,0.18716667220567862,0.0004282094211906041,0.1265458073088476,0.0005786473630675606,0.003913619992090389,0.0007070951140661754,,,,,,,,
KMeans,Cancer,-,-,,,10,0.6673014390286682,0.006838417318825174,0.34465565222090827,0.0006367057650650626,0.08461938999244012,0.012878699641167703,,,,,,,,
DBSCAN,Cancer,-,-,,,10,0.0,0.0,,,0.0073613799933809785,0.0017080207223179004,,,,,,,,
KMeans,Iris,-,-,,,10,0.6173549250167925,0.008340767610736223,0.4602576189139381,0.0009281391262555301,0.07268355999258347,0.022559854676208982,,,,,,,,
DBSCAN,Iris,-,-,,,10,0.0,0.0,,,0.0029363100067712365,0.0008881069694285322,,,,,,,,
LocPop,Moons,B,S,0.25,0.35,10,0.3142127880532564,0.018318491500256853,0.47933350545327436,0.012301950775914113,0.07731224001036026,0.016214739946088828,342.5,23.5,1.0,0.0,5.4,0.4898979485566356,0.0,0.0
LocPop,Moons,B,P,0.25,0.35,10,0.3256255225177644,0.01588527432568576,0.4871782821905956,0.0112103853049495,0.04548356999293901,0.0074799364217916125,326.1,26.055517649818434,1.0,0.0,5.7,0.45825756949558405,0.0013882204243029674,0.003378634292739229
LocPop,Moons,B,KM,0.25,0.35,10,0.3169611587414373,0.018954195457160455,0.4795399033553169,0.011610918130749609,0.02461480000638403,0.0024144488607126587,152.4,8.879189152169246,1.0,0.0,5.4,0.4898979485566356,0.32285733540087086,0.012261603279785427
LocPop,Moons,B,D,0.25,0.35,10,0.3016431241915578,0.0015268226926274631,0.4701058565517367,0.0005328531494225753,0.02632910998654552,0.0025174487437051194,157.3,0.45825756949558405,1.0,0.0,5.0,0.0,0.30554947429500084,0.0015153579032873305
LocPop,Moons,AF,S,0.25,0.35,10,0.30346641364224763,0.012466648913811034,0.47172128489609844,0.007288124924609844,0.07674167000805028,0.010217556236832116,340.6,24.532427519509763,1.0,0.0,5.1,0.3,0.0,0.0
LocPop,Moons,AF,P,0.25,0.35,10,0.3265417776607751,0.016944981532160203,0.4840072891535748,0.011866020053468792,0.045195939997211096,0.0041871297000359315,316.4,27.44521816273283,1.0,0.0,5.6,0.4898979485566356,0.0011960090794168165,0.0037441912390590764
LocPop,Moons,AF,KM,0.25,0.35,10,0.3245316682978151,0.01274274698459764,0.4764060488701286,0.01416168422396383,0.02383637999300845,0.001898083311725035,148.0,11.670475568716126,1.0,0.0,5.4,0.4898979485566356,0.3325703312605139,0.01978524340469806
LocPop,Moons,AF,D,0.25,0.35,10,0.31414958010993754,0.0,0.4648440063797322,5.551115123125783e-17,0.02615431000594981,0.002362535922792956,150.0,0.0,1.0,0.0,5.0,0.0,0.31814090196384853,0.0
